event_code, primary_location, direction, extent, diversion_advice, ltn, rds_cc, length_route_affected, speed_limit_advice, quantifier, supplementary_info, additional_event, detailed_diversion_instructions, destinations, cross_linkage_to_source_problem, start_unix_time, stop_unix_time, iso_cc, latitude, longitude, activate_unix_time, expire_unix_time, geocoded_location_list, iid, duration, control_code, separator, information_category
701,1118,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00094,116.35272,1401180600,1401182400, ,0x07fc9163af754cd33e46720272d504a8,1,65535,255,209
506,1118,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00094,116.35272,1401180600,1401182400, ,0xa3864753ec4a5e004aa3342089cf1a4d,1,65535,255,209
506,1119,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00151,116.37007,1401180600,1401182400, ,0x72c11d76f8b57945753bf1fd4ba339e2,1,65535,255,209
701,1119,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00151,116.37007,1401180600,1401182400, ,0x913c4a6e1f45217515af703652d82f4d,1,65535,255,209
701,1122,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00173,116.37618,1401180600,1401182400, ,0x7a69edd2c1ff9eac8ccb46aaa76181d0,1,65535,255,209
493,1122,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00173,116.37618,1401180600,1401182400, ,0x0957bc1ed393ae5839b48274290cc635,1,65535,255,209
493,1124,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00267,116.40784,1401180600,1401182400, ,0xdec2af4bcbda61c23fac2dcc689e0958,1,65535,255,209
701,1124,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00267,116.40784,1401180600,1401182400, ,0x105c36e6626b2e6d81c137aecacca102,1,65535,255,209
493,1124,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00267,116.40784,1401180600,1401182400, ,0x351550e6c1436f0a07d67ff3c45a754d,1,65535,255,209
701,1124,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00267,116.40784,1401180600,1401182400, ,0xece5f78e70da9fd0c8df7faf07cacc26,1,65535,255,209
701,1125,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00289,116.41752,1401180600,1401182400, ,0x8f0f52ed65dc531221de54a8f64b17fb,1,65535,255,209
493,1125,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.00289,116.41752,1401180600,1401182400, ,0x6e2ad4384bba9a01e003d30b1b21a253,1,65535,255,209
701,1854,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.76882,116.44702,1401180600,1401182400, ,0x0ad1095c273519af31ce9bd701e7f4ac,1,65535,255,209
492,1854,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.76882,116.44702,1401180600,1401182400, ,0x0766a41c23c078b0da8e77468efe3fd5,1,65535,255,209
701,1855,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.80641,116.45101,1401180600,1401182400, ,0xb47a2a6de796a8bd892c9b7374329075,1,65535,255,209
492,1855,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.80641,116.45101,1401180600,1401182400, ,0x33f45bfbdb72166b81cafd4da7843189,1,65535,255,209
701,3398,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.13793,116.63928,1401180600,1401182400, ,0x9d808f21a15fcf48a9d9973fb6baf967,1,65535,255,209
492,3398,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.13793,116.63928,1401180600,1401182400, ,0xda81d498747a25a389cab6c4ac16bb5a,1,65535,255,209
701,3399,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.13736,116.64614,1401180600,1401182400, ,0xfd3805c78f4ad178f9faa4b2be046319,1,65535,255,209
492,3399,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.13736,116.64614,1401180600,1401182400, ,0xb759a1821efeecbbe157440d59f668c0,1,65535,255,209
701,3401,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.13736,116.64614,1401180600,1401182400, ,0xf3825246eb41334e6f9a17fa863e53e3,1,65535,255,209
492,3401,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.13736,116.64614,1401180600,1401182400, ,0x81d4c61951f874be862c0a2513ffe062,1,65535,255,209
492,3402,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.1371,116.65136,1401180600,1401182400, ,0xa56ddf95ec394652c44f1a60dd8d5d9e,1,65535,255,209
701,3402,1,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,40.1371,116.65136,1401180600,1401182400, ,0x2e62719cf2c2e6c3ec7e457b7fb738a1,1,65535,255,209
492,4006,0,1,0,32,12,65535,65535,65535,65535,65535,4294967295,4294967295,4294967295,0,0,CN,39.9133,116.44105,1401180600,1401182400, ,0x9a44c2791cc50a1b764b04c75c52360e,1,65535,255,209
